method_type,params,explained_variance_ratio,overall_sparsity,mean_sparsity_per_component,interpretable_components,reconstruction_error,converged,n_iter,success,condition,combination_id,bic_score,bic_penalty,explained_var_norm,interpretable_comp_norm,sparsity_score,reconstruction_score,convergence_score,combined_score
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 12, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9868499934455963,0.07142857142857142,0.07142857142857141,0,0.32360087105142904,True,3,True,List1,37,-3471.9257289979478,0.0828668241700886,0.4714880464430983,0.0,0.11904761904761904,0.9769319121506554,1.0,0.40283207716681657
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 12, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9868499934455963,0.07142857142857142,0.07142857142857141,0,0.3983237032000795,True,3,True,List1,38,-2814.799439833126,0.17113906894157951,0.4714880464430983,0.0,0.11904761904761904,0.9478970206911675,1.0,0.3825878393890251
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 12, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9868499934455963,0.07142857142857142,0.07142857142857141,0,0.3983237032000795,True,3,True,List1,39,-2814.799439833126,0.17113906894157951,0.4714880464430983,0.0,0.11904761904761904,0.9478970206911675,1.0,0.3825878393890251
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 12, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9868499934455963,0.07142857142857142,0.07142857142857141,0,2.6102019631537674,True,3,True,List1,40,3131.3808098724844,0.9698937179520783,0.4714880464430983,0.0,0.11904761904761904,0.0884322044808249,1.0,0.10989228013558391
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 12, 'ridge_alpha': 1.0, 'tol': 1e-05}",0.9868499934455963,0.07142857142857142,0.07142857142857141,0,2.6102019631537674,True,3,True,List1,41,3131.3808098724844,0.9698937179520783,0.4714880464430983,0.0,0.11904761904761904,0.0884322044808249,1.0,0.10989228013558391
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 15, 'ridge_alpha': 0.01, 'tol': 0.0001}",0.9932541151996327,0.07142857142857142,0.07142857142857141,0,0.2642339242614468,True,3,True,List1,42,-4088.8123710187583,1.582630004140316e-12,0.5724585661466857,0.0,0.11904761904761904,0.9999999999996175,1.0,0.4514994746055682
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 15, 'ridge_alpha': 0.01, 'tol': 1e-05}",0.9932541151996327,0.07142857142857142,0.07142857142857141,0,0.2642339242614468,True,3,True,List1,43,-4088.8123710187583,1.582630004140316e-12,0.5724585661466857,0.0,0.11904761904761904,0.9999999999996175,1.0,0.4514994746055682
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 15, 'ridge_alpha': 0.1, 'tol': 0.0001}",0.9932541151996327,0.07142857142857142,0.07142857142857141,0,0.33944164598617166,True,3,True,List1,44,-3296.5844199054113,0.10642054772365633,0.5724585661466857,0.0,0.11904761904761904,0.9707766960321141,1.0,0.42796028042046946
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 15, 'ridge_alpha': 0.1, 'tol': 1e-05}",0.9932541151996327,0.07142857142857142,0.07142857142857141,0,0.33944164598617166,True,3,True,List1,45,-3296.5844199054113,0.10642054772365633,0.5724585661466857,0.0,0.11904761904761904,0.9707766960321141,1.0,0.42796028042046946
SparsePCA,"{'alpha': 0.01, 'max_iter': 2000, 'method': 'cd', 'n_components': 15, 'ridge_alpha': 1.0, 'tol': 0.0001}",0.9932541151996327,0.07142857142857142,0.07142857142857141,0,2.5656719801861185,True,3,True,List1,46,3101.1323472804397,0.965830420321299,0.5724585661466857,0.0,0.11904761904761904,0.10573512495346493,1.0,0.14351026769109637
