Genotype,Metric,Cohen_d,Direction,MW_pval,MW_significant,Perm_pval,Perm_significant,pval_difference,Agreement
50742 (MB247-GAL4),distance_ratio,0.9195809858351366,1,0.0758330237829966,False,0.0236976302369763,False,0.0521353935460203,AGREE
86707 (LH578),distance_ratio,-0.0962507655028575,-1,0.80449274880142,False,0.7831216878312168,False,0.021371060970203137,AGREE
MB310C,distance_ratio,0.5771941166570458,1,0.4187334731868158,False,0.0968903109689031,False,0.3218431622179127,AGREE
KC-α/βc-GaL4,first_major_event,0.3974587136081247,1,0.7165284024367191,False,0.2685731426857314,False,0.4479552597509877,AGREE
72D07-GAL4,first_major_event,-0.7909338535999648,-1,0.072128879735271,False,0.0226977302269773,False,0.049431149508293706,AGREE
KC-γmain-GaL4,first_major_event,0.2414440492119442,1,0.7954507669575848,False,0.5126487351264873,False,0.2828020318310974,AGREE
LC10-2,first_major_event,-1.0553114702524575,-1,0.0067486977481925,False,0.0045995400459954,True,0.0021491577021970996,"DISAGREE: MW-no, Perm-yes"
51983 (Mip-GAL4 1M),first_major_event,0.0417927951013617,1,0.9655442477218648,False,0.9337066293370664,False,0.03183761838479837,AGREE
MB504B (All PPL1),first_major_event,0.2168195907821209,1,0.4112455402195956,False,0.6382361763823617,False,0.22699063616276616,AGREE
MB312B (PAM-07),first_major_event,-0.9918567580292584,-1,0.0077746631223563,True,0.0092990700929907,True,0.0015244069706344,AGREE
MB304B (PPL1-04),first_major_event,0.2727622046493608,1,0.1434255777390199,False,0.5451454854514548,False,0.40171990771243493,AGREE
86615 (LH2201),first_major_event,-1.457607531601261,-1,0.0010840827652746,True,0.000999900009999,True,8.418275527560001e-05,AGREE
9998 (OR67d-GAL4),first_major_event,0.9598581509805008,1,0.0236628345058953,True,0.0061993800619938,True,0.0174634544439015,AGREE
MBON-08-GaL4  MBON-09-GaL4 ,first_major_event,0.6024174640263184,1,0.1484554297452956,False,0.1054894510548945,False,0.0429659786904011,AGREE
854 (OK107-Gal4),first_major_event,-0.1520727826557353,-1,0.3440494606636571,False,0.7135286471352865,False,0.3694791864716294,AGREE
41731 (IR8a-GAL4),first_major_event,0.4338305514440974,1,0.8383286796618024,False,0.3735626437356264,False,0.46476603592617594,AGREE
9943 (GR63a-GAL4),first_major_event,0.0244329772100151,1,0.4496515763284432,False,0.961003899610039,False,0.5113523232815957,AGREE
75823 (LH2446),first_major_event,-0.8476657169239952,-1,0.0027598086525457,True,0.0192980701929807,False,0.016538261540435,"DISAGREE: MW-yes, Perm-no"
86685 (LH272),first_major_event,-1.147543729660913,-1,0.0004079532301017,True,0.0006999300069993,True,0.00029197677689759996,AGREE
LC16-1,first_major_event,-0.519644134229248,-1,0.0073345896602543,True,0.1376862313768623,False,0.130351641716608,"DISAGREE: MW-yes, Perm-no"
86720 (LH18),first_major_event,-0.1701460819401833,-1,0.008484430322693,False,0.6531346865313469,False,0.6446502562086539,AGREE
SS32219-Gal4 (LAL-2),first_major_event,-0.8775269089525567,-1,0.0063851139680145,True,0.0171982801719828,False,0.0108131662039683,"DISAGREE: MW-yes, Perm-no"
DDC-gal4,first_major_event,0.1052668476092291,1,0.06450168093878,False,0.7637236276372362,False,0.6992219466984562,AGREE
MB434B,first_major_event,-1.3913499343086442,-1,0.0005556771457368,True,0.0003999600039996,True,0.00015571714173719998,AGREE
MB418B ,first_major_event,-1.783601377479472,-1,1.8037124683782708e-05,True,9.999000099990002e-05,True,8.19528763161173e-05,AGREE
SS32230-Gal4 (LAL-1),first_major_event,0.2670824468485847,1,0.947136596790526,False,0.4688531146885311,False,0.4782834821019949,AGREE
LC22,first_major_event,0.2556328291116308,1,0.9546163071542216,False,0.5094490550944906,False,0.44516725205973107,AGREE
75945 (LH1543),first_major_event,-1.7499245454705323,-1,4.346324285219177e-05,True,9.999000099990002e-05,True,5.652675814770824e-05,AGREE
MB296B (PPL1-03),first_major_event,-0.2057588852521464,-1,0.2233007427915933,False,0.5700429957004299,False,0.34674225290883665,AGREE
50742 (MB247-GAL4),first_major_event,0.9422761992462804,1,0.1853932437322292,False,0.005999400059994,True,0.1793938436722352,"DISAGREE: MW-no, Perm-yes"
86707 (LH578),first_major_event,0.1594299579924709,1,0.3521568986733903,False,0.6531346865313469,False,0.3009777878579566,AGREE
MB310C,first_major_event,-0.3981630498907362,-1,0.0533141758996237,False,0.2526747325267473,False,0.19936055662712363,AGREE
KC-α/βc-GaL4,first_major_event_time,0.1743091681884837,1,0.5581846494226572,False,0.619038096190381,False,0.06085344676772375,AGREE
72D07-GAL4,first_major_event_time,-0.4426097750656905,-1,0.779061857710557,False,0.1977802219778022,False,0.5812816357327548,AGREE
KC-γmain-GaL4,first_major_event_time,0.5783387811349417,1,0.129641931500049,False,0.1046895310468953,False,0.024952400453153695,AGREE
LC10-2,first_major_event_time,-0.2051489540418988,-1,0.2548409558042956,False,0.5686431356864313,False,0.3138021798821357,AGREE
