genotype,control,significant,significant_PCs,num_significant_PCs,permutation_pval,PCA1_pval,PCA1_pval_corrected,PCA1_significant,PCA2_pval,PCA2_pval_corrected,PCA2_significant,PCA3_pval,PCA3_pval_corrected,PCA3_significant,PCA4_pval,PCA4_pval_corrected,PCA4_significant,PCA5_pval,PCA5_pval_corrected,PCA5_significant,PCA6_pval,PCA6_pval_corrected,PCA6_significant,PCA7_pval,PCA7_pval_corrected,PCA7_significant,PCA8_pval,PCA8_pval_corrected,PCA8_significant,PCA9_pval,PCA9_pval_corrected,PCA9_significant,PCA10_pval,PCA10_pval_corrected,PCA10_significant
MBON-08-GaL4  MBON-09-GaL4 ,Empty-Split,True,['PCA2'],1,0.0099900099900099,0.8822111206344694,0.9802345784827438,False,0.0021465459615176334,0.021465459615176333,True,0.11239908770654287,0.3746636256884763,False,0.6875610761271713,0.8594513451589642,False,0.24435600416931658,0.6108900104232914,False,0.3408429831042281,0.6816859662084562,False,0.010432052742358873,0.052160263711794365,False,0.9831126875838702,0.9831126875838702,False,0.511716471461259,0.7310235306589414,False,0.4335287866464803,0.7225479777441339,False
9998 (OR67d-GAL4),Empty-Gal4,True,[],0,0.0039960039960039,0.04128168070817079,0.20640840354085394,False,0.020048600175371797,0.20048600175371795,False,0.7879850135276372,0.8370636154898536,False,0.45717472658891667,0.653106752269881,False,0.6238520809623239,0.7798151012029049,False,0.17874135975693473,0.5579781438206401,False,0.41979076804604143,0.653106752269881,False,0.22319125752825608,0.5579781438206401,False,0.8370636154898536,0.8370636154898536,False,0.41979076804604143,0.653106752269881,False
854 (OK107-Gal4),Empty-Gal4,True,"['PCA2', 'PCA3', 'PCA7', 'PCA9']",4,0.0009990009990009,0.04128168070817079,0.05897382958310113,False,2.245522664128868e-06,2.2455226641288677e-05,True,6.273422832191232e-05,0.0003136711416095616,True,0.03271158352982045,0.05897382958310113,False,0.537265926636113,0.5969621407067921,False,0.05560287121225844,0.06950358901532304,False,0.014206802217273171,0.04226861274409449,True,1.0,1.0,False,0.016907445097637797,0.04226861274409449,True,0.03823483580600874,0.05897382958310113,False
9943 (GR63a-GAL4),Empty-Gal4,True,"['PCA1', 'PCA2', 'PCA3', 'PCA4']",4,0.0009990009990009,0.00824611159729866,0.027487038657662204,True,7.167853207417968e-05,0.0007167853207417968,True,0.0009455919019482447,0.0047279595097412235,True,0.013005082329287907,0.032512705823219766,True,0.05560287121225844,0.0794326731603692,False,0.14999297257278157,0.18749121571597696,False,0.23544562486885767,0.26136517590616637,False,0.035381335266633125,0.05896889211105521,False,0.26136517590616637,0.26136517590616637,False,0.03021624712001323,0.05896889211105521,False
51970 (Capa-GAL4 5F),Empty-Gal4,True,['PCA6'],1,0.0009990009990009,0.3345561838743112,0.3717290931936791,False,0.14123841781192514,0.2824768356238503,False,0.2481686938067007,0.32670646988270796,False,0.013005082329287907,0.06502541164643953,False,0.18918230992030094,0.31530384986716825,False,0.0005313629584409026,0.005313629584409025,True,0.911826411753384,0.911826411753384,False,0.0516819061644163,0.12920476541104073,False,0.26136517590616637,0.32670646988270796,False,0.035381335266633125,0.11793778422211042,False
51980 (Burs-GAL4 4M),Empty-Gal4,True,['PCA4'],1,0.0019980019980019,0.06418997117728065,0.19341625217681008,False,0.0905192333421713,0.19341625217681008,False,0.14123841781192514,0.2017691683027502,False,0.003792408129812635,0.03792408129812635,True,0.9621482836066155,0.9621482836066155,False,0.03823483580600874,0.1911741790300437,False,0.132881986620485,0.2017691683027502,False,0.17874135975693473,0.2234266996961684,False,0.812432208131742,0.9027024534797133,False,0.09670812608840504,0.19341625217681008,False
41731 (IR8a-GAL4),Empty-Gal4,True,['PCA2'],1,0.0019980019980019,0.8711700199114387,0.9679666887904874,False,0.004428066212963238,0.04428066212963237,True,0.13652708847216855,0.4550902949072285,False,0.07692650598829089,0.3846325299414544,False,0.7702606318166959,0.9628257897708699,False,0.45368361615501207,0.6481194516500173,False,0.3781241641653541,0.6481194516500173,False,0.3781241641653541,0.6481194516500173,False,0.9741002704389433,0.9741002704389433,False,0.45368361615501207,0.6481194516500173,False
34497 (MZ19-GAL4),Empty-Gal4,True,[],0,0.0019980019980019,0.02729650212487741,0.2588858509911141,False,0.10355434039644565,0.2588858509911141,False,1.0,1.0,False,0.4148860293025053,0.6914767155041756,False,0.721120984278879,0.8012455380876433,False,0.2240631222324586,0.4481262444649172,False,0.08952717762786412,0.2588858509911141,False,0.5805224523759993,0.7256530654699991,False,0.49420487978840383,0.7060069711262912,False,0.055856043270230915,0.2588858509911141,False
41728 (IR25a-GAL4),Empty-Gal4,True,"['PCA1', 'PCA3']",2,0.0009990009990009,0.0018574103242295463,0.009287051621147732,True,0.04719308151802431,0.11798270379506076,False,0.0018574103242295463,0.009287051621147732,True,0.13652708847216855,0.19503869781738364,False,0.13652708847216855,0.19503869781738364,False,0.08952717762786412,0.17905435525572824,False,0.7702606318166959,0.8558451464629955,False,0.8711700199114387,0.8711700199114387,False,0.018276917590418735,0.06092305863472912,False,0.5365835537460252,0.6707294421825314,False
30026 (GH146-GAL4),Empty-Gal4,True,['PCA5'],1,0.0019980019980019,0.3781241641653541,0.5186075366281315,False,0.033002466640910576,0.11000822213636859,False,0.13652708847216855,0.2730541769443371,False,0.011842848227287586,0.059214241136437924,False,0.0006538084341288003,0.006538084341288003,True,0.6729174715444739,0.6729174715444739,False,0.3432345686350263,0.5186075366281315,False,0.5805224523759993,0.6450249470844437,False,0.07692650598829089,0.1923162649707272,False,0.4148860293025053,0.5186075366281315,False
