Nickname,Control,Dimension,pval,FDR_significant,FDR_pval
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.8,0.25484095580429567,False,0.7346281074198744
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.9,0.5414703924391078,False,0.8875832627296741
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.10,0.6322436309019092,False,0.9153618228408871
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.11,0.19233784562325407,False,0.6880821380202434
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.12,0.22832704879820187,False,0.7120619961839312
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.13,0.06698525423196508,False,0.5606017217256474
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.14,0.08917734242989683,False,0.5984494164482421
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.15,0.779061857710557,False,0.9558611258274904
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.16,0.11694331449775575,False,0.6390179220291545
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.17,0.5860416230076372,False,0.9045857139367164
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.18,0.06698525423196508,False,0.5606017217256474
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.19,0.7042746132087777,False,0.9398347057912294
R12B01-gal4 (R4d - distal (EB)),Empty-Gal4,Dim.20,0.6559104900442466,False,0.9232036785872922
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.1,0.861855796318015,False,0.9787586371948651
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.2,0.0027911658932925063,False,0.19158712114701376
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.3,0.8370636154898536,False,0.9715699007435455
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.4,0.7397342431142654,False,0.9457572398312806
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.5,0.14999297257278157,False,0.66151084223241
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.6,0.31895098736180794,False,0.7735679035344275
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.7,0.3038301300878443,False,0.7610093881369543
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.8,0.03021624712001323,False,0.46076882581476114
SS02255-GAL4 (P-F2N3 (target FSB)),Empty-Split,Dim.9,0.3345561838743112,False,0.7832550657763285
