Nickname,Control,MannWhitney_any_dim_significant,MannWhitney_significant_dims,MannWhitney_corrected_pvals,MannWhitney_raw_pvals,MannWhitney_dims_tested,Permutation_stat,Permutation_pval,Mahalanobis_stat,Mahalanobis_pval,Permutation_FDR_significant,Permutation_FDR_pval,Mahalanobis_FDR_significant,Mahalanobis_FDR_pval
MB320C (PPL1-01),Empty-Split,False,[],"[0.3645961561054132, 1.0, 0.3645961561054132, 0.3586116519655803, 0.3645961561054132, 0.3645961561054132]","[0.20006609056316782, 1.0, 0.28919323724869117, 0.05976860866093005, 0.21140013326822704, 0.3038301300878443]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.9463116925733452,0.21578421578421578,1.1121710150525448,0.061938061938061936,False,0.4560733384262796,False,0.19564562421705278
MB194B (PAM-09),Empty-Split,False,[],"[0.28959327301912413, 0.6559104900442466, 0.28959327301912413, 0.19961631524298037, 0.28959327301912413, 0.28959327301912413]","[0.24132772751593679, 0.6559104900442466, 0.24132772751593679, 0.03326938587383006, 0.20383918699366232, 0.20383918699366232]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",0.9140501685269836,0.7682317682317682,1.0634807599018006,0.08891108891108891,False,0.8175300635193683,False,0.24326988800673013
MB109B (PAM-02),Empty-Split,False,[],"[0.9873785512460885, 0.9568529620854238, 0.9873785512460885, 0.9873785512460885, 0.9568529620854238, 0.9873785512460885]","[0.9873785512460885, 0.16873524285558883, 0.886784835609217, 0.7397342431142654, 0.31895098736180794, 0.9369558676699575]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.531832108245009,0.33466533466533466,0.5281570850363624,0.8971028971028971,False,0.5386871193322806,False,0.9108340638952884
SS54549 (P-F3-5R patch line),Empty-Split,False,[],"[0.4784264810427119, 0.5956306857535045, 0.6692911266180891, 0.4784264810427119, 0.44306190337973833, 0.4774663294385547]","[0.28919323724869117, 0.4963589047945871, 0.6692911266180891, 0.31895098736180794, 0.07384365056328972, 0.1591554431461849]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.3490446438653825,0.12087912087912088,1.1585836218099226,0.03696303696303696,False,0.4560733384262796,False,0.14422832069890892
MB213B (PAM-04),Empty-Split,False,[],"[0.5259676827478296, 0.5259676827478296, 0.911826411753384, 0.5259676827478296, 0.5259676827478296, 0.911826411753384]","[0.17874135975693473, 0.35064512183188634, 0.911826411753384, 0.28919323724869117, 0.23544562486885767, 0.812432208131742]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.7056785850193172,0.40559440559440557,0.8237046301799238,0.4695304695304695,False,0.6205007114098023,False,0.5839785214785215
MB065B (PPL1-06),Empty-Split,False,[],"[1.0, 1.0, 1.0, 0.42371525343577543, 0.33361722727355064, 0.5227303518123327]","[1.0, 0.8370636154898536, 0.7159745798891979, 0.14123841781192514, 0.05560287121225844, 0.26136517590616637]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.4640010424620573,0.5214785214785215,0.6040718591302505,0.8221778221778222,False,0.6978055501545434,False,0.8611230874388769
MB032B (PAM-06),Empty-Split,False,[],"[0.5956306857535045, 0.5956306857535045, 0.886784835609217, 0.5956306857535045, 0.5956306857535045, 0.5956306857535045]","[0.4765462117850495, 0.3842667981691905, 0.886784835609217, 0.35064512183188634, 0.4963589047945871, 0.4017932346855225]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.199866035039239,0.6203796203796204,0.8039224728798036,0.4725274725274725,False,0.7266526576871405,False,0.5840556958569381
MB441B (PAM-12),Empty-Split,False,[],"[0.911826411753384, 0.911826411753384, 0.911826411753384, 0.911826411753384, 0.911826411753384, 0.911826411753384]","[0.7397342431142654, 0.6464067390155086, 0.7637449284635762, 0.21140013326822704, 0.4963589047945871, 0.911826411753384]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",1.2972962900441865,0.5874125874125874,0.5995372293379033,0.8421578421578422,False,0.7173609523007114,False,0.8728615134865135
50742 (MB247-GAL4),Empty-Gal4,False,[],"[0.4234511649641708, 0.47972527099886897, 0.1127911528228709, 0.5966894708177294, 0.5966894708177294, 0.4234511649641708]","[0.15614169730137287, 0.3198168473325793, 0.018798525470478483, 0.5966894708177294, 0.5966894708177294, 0.2117255824820854]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.667795934887922,0.07292707292707293,1.1935978663059472,0.08491508491508491,False,0.38190756611809246,False,0.2380014351845338
51973 (Tk-GAL4 2Ma),Empty-Gal4,False,[],"[0.42371525343577543, 0.5227303518123327, 0.6026898520282838, 0.6238520809623239, 0.42371525343577543, 0.6238520809623239]","[0.14123841781192514, 0.26136517590616637, 0.4017932346855225, 0.6016446404961844, 0.10323093020037072, 0.6238520809623239]","['PCA1', 'PCA2', 'PCA3', 'PCA4', 'PCA5', 'PCA6']",2.0430382966215275,0.1048951048951049,0.9641978397284627,0.16683316683316685,False,0.4560733384262796,False,0.3569870989225828
